Classpath,Leaf Node,Attribute Label,Normalized Label,Data Type,UOM Type,Filtering,Keywords,Guidelines
Lighting & Electrical>Wiring Devices>Outlets & Receptacles,Outlets & Receptacles,Amperage Rating,Amperage Rating,numeric,Current,Y,a|amp,
Lighting & Electrical>Wiring Devices>Outlets & Receptacles,Outlets & Receptacles,Device Type,Device Type,enum,,Y,gfci|gfi|outlet|dimmer,GFCI Outlet|Outlet|Dimmer
Lighting & Electrical>Wiring Devices>Outlets & Receptacles,Outlets & Receptacles,Color,Color,enum,,Y,wh|white|br|brown|blk|black,White|Brown|Black|Ivory
Lighting & Electrical>Electrical Boxes & Covers>Box Covers,Box Covers,Gang Size,Gang Size,enum,,Y,1g|2g|single|double,1-Gang|2-Gang
Appliances & Consumer Electronics>Heating Cooling & Air Quality>Ceiling Fans,Ceiling Fans,Blade Span,Blade Span,numeric,Length,Y,"""|in",
Appliances & Consumer Electronics>Heating Cooling & Air Quality>Ceiling Fans,Ceiling Fans,Finish,Finish,enum,,Y,wh|white|bz|bronze|mb|matte black,White|Bronze|Matte Black
Building Materials>Outdoor Living>Decking Boards,Decking Boards,Length,Length,numeric,Length,Y,'|ft,
Building Materials>Outdoor Living>Decking Boards,Decking Boards,Nominal Width,Nominal Width,text,Length,Y,"x\d+""",
Building Materials>Outdoor Living>Decking Boards,Decking Boards,Color,Color,text,,Y,walnut|coastline|biscayne,
Building Materials>Outdoor Living>Railing Systems,Railing Systems,Length,Length,numeric,Length,Y,'|ft,
Building Materials>Outdoor Living>Railing Systems,Railing Systems,Color,Color,enum,,Y,black|white|wh,Black|White
Building Materials>Outdoor Living>Railing Systems,Railing Systems,Baluster Style,Baluster Style,enum,,Y,round|square|sq|rnd,Round|Square
Tools & Equipment>Power Tool Accessories>Abrasive Discs,Abrasive Discs,Diameter,Diameter,numeric,Length,Y,"""|in",
Tools & Equipment>Power Tool Accessories>Abrasive Discs,Abrasive Discs,Grit,Grit,text,Grit,Y,p\d+|grit,
Tools & Equipment>Power Tool Accessories>Abrasive Discs,Abrasive Discs,Arbor/Bore Size,Arbor/Bore Size,text,Length,N,"x\d+/\d+""|bore",
Tools & Equipment>Power Tool Accessories>Cut-Off Discs,Cut-Off Discs,Diameter,Diameter,numeric,Length,Y,"""|in",
Tools & Equipment>Power Tool Accessories>Cut-Off Discs,Cut-Off Discs,Thickness,Thickness,text,Length,Y,"x\.\d+""|x\d+/\d+""",
Tools & Equipment>Power Tool Accessories>Cut-Off Discs,Cut-Off Discs,Material Cut,Material Cut,enum,,Y,metal,Metal|Masonry|Wood
