MANUFACTURER_NAME,MANUFACTURER_CODE,BRAND_NAME,BRAND_CODE,MATCH_ALIASES,SOURCE
Metalmark Industrial Inc,METIN,Metalmark Industrial Inc,METIN,metalmark industrial inc,observed_input
MillerTech Energy Solutions,MILTE,MillerTech Energy Solutions,MILTE,millertech energy solutions,observed_input
Milwaukee Accessory,4031,Milwaukee Accessory,4031,milwaukee accessory,observed_input
Milwaukee Tool,,Milwaukee®,MILW,milw|milwaukee,curated_seed
Mirka Abrasives Inc,,Mirka®,MIRK,mirka,curated_seed
National Nail Corp,7439,National Nail Corp,7439,national nail corp,observed_input
Ohio Firewatch Protection Inc,HOLFS,Ohio Firewatch Protection Inc,HOLFS,ohio firewatch protection inc,observed_input
Oliver Machinery Company,OLIMA,Oliver Machinery Company,OLIMA,oliver machinery company,observed_input
Palmer Donavin Mfg Company,PALDO,Palmer Donavin Mfg Company,PALDO,palmer donavin mfg company,observed_input
Parksite,6151,Parksite,6151,parksite,observed_input
Phillips Lighting,5831,Phillips Lighting,5831,phillips lighting,observed_input
Police Security,9470,Police Security,9470,police security,observed_input
Prebena,PREBE,Prebena,PREBE,prebena,observed_input
Premier Metals,PREME,Premier Metals,PREME,premier metals,observed_input
Prime Wire & Cable,3562,Prime Wire & Cable,3562,prime wire & cable,observed_input
ProVia,PRODO,ProVia,PRODO,provia,observed_input
Radians,7363,Radians,7363,radians,observed_input
Rees Cast Stone Company,REECA,Rees Cast Stone Company,REECA,rees cast stone company,observed_input
Rheem Manufacturing,,FRIGIDAIRE®,FRIG,frigidaire,ground_truth
Robt Bosch Tool Corp,6564,Robt Bosch Tool Corp,6564,robt bosch tool corp,observed_input
Sabre,9195,Sabre,9195,sabre,observed_input
Samsung Electronics,,Samsung®,SAMS,samsung,curated_seed
Satco Prod Inc,5573,Satco Prod Inc,5573,satco prod inc,observed_input
Satco Products Inc,,Satco®,SATC,satco,curated_seed
Saw Stop LLC,SAWST,Saw Stop LLC,SAWST,saw stop llc,observed_input
Senco Products Inc,4650,Senco Products Inc,4650,senco products inc,observed_input
Signify (Philips Lighting),,Philips®,PHIL,philips,curated_seed
Southwire Company,,Southwire®,SWIR,southwire,curated_seed
Southwire/g Turner,6603,Southwire/g Turner,6603,southwire/g turner,observed_input
Square D Con Prod Dv,6825,Square D Con Prod Dv,6825,square d con prod dv,observed_input
Streamlight,7277,Streamlight,7277,streamlight,observed_input
Tech Gear 5.7 Inc,TECGE,Tech Gear 5.7 Inc,TECGE,tech gear 5.7 inc,observed_input
Thomas & Betts,7405,Thomas & Betts,7405,thomas & betts,observed_input
Trex Company,,Trex®,TREX,trex,curated_seed
U S Lumber,3073,U S Lumber,3073,u s lumber,observed_input
U S Tape Company,6694,U S Tape Company,6694,u s tape company,observed_input
United Window & Door Manufacturing,UNIWI,United Window & Door Manufacturing,UNIWI,united window & door manufacturing,observed_input
V & V Appliance Parts Inc,VVAPP,V & V Appliance Parts Inc,VVAPP,v & v appliance parts inc,observed_input
Velux America Inc,VELAM,Velux America Inc,VELAM,velux america inc,observed_input
Vessel Tools USA Inc,,Vessel®,VESS,vessel,curated_seed
Wera Tools NA Inc,WERTO,Wera Tools NA Inc,WERTO,wera tools na inc,observed_input
Westwood Lumber Sales,WESLU,Westwood Lumber Sales,WESLU,westwood lumber sales,observed_input
Whirlpool Corporation,,Whirlpool®,WHRL,whirlpool,ground_truth
Whiteside Machine & Repair Co,WHIMA,Whiteside Machine & Repair Co,WHIMA,whiteside machine & repair co,observed_input
Woodpeckers Inc,WOODP,Woodpeckers Inc,WOODP,woodpeckers inc,observed_input
Woods Wire Southwire,7579,Woods Wire Southwire,7579,woods wire southwire,observed_input
Woodstock Intl,3658,Woodstock Intl,3658,woodstock intl,observed_input
